X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1132.69848	8.16906	100.23622	0.08810	-1.04702	172.43443	0.39290	-0.99113	0.13169	-0.01791	-0.13164	-0.99129	-0.00393	-0.01827	-0.00154	0.99983	
1132.60952	8.23596	100.26938	0.06933	-0.89476	172.44922	0.35239	-0.99121	0.13142	-0.01532	-0.13139	-0.99133	-0.00325	-0.01562	-0.00121	0.99988	
1132.63418	8.24436	100.25719	0.03126	-1.00372	172.47536	0.33527	-0.99124	0.13096	-0.01730	-0.13093	-0.99139	-0.00283	-0.01752	-0.00055	0.99985	
1132.60788	8.21248	100.26548	0.10617	-0.93029	172.49983	0.30818	-0.99131	0.13056	-0.01586	-0.13051	-0.99144	-0.00396	-0.01624	-0.00185	0.99987	
1132.59886	8.22107	100.24317	0.07012	-0.97120	172.51257	0.28563	-0.99133	0.13033	-0.01665	-0.13029	-0.99147	-0.00342	-0.01695	-0.00122	0.99986	
1132.60896	8.19254	100.22966	0.09360	-0.95032	172.47353	0.29501	-0.99125	0.13101	-0.01623	-0.13097	-0.99138	-0.00379	-0.01659	-0.00163	0.99986	
1132.63432	8.18569	100.24125	0.10814	-0.97536	172.48775	0.31252	-0.99127	0.13077	-0.01663	-0.13072	-0.99141	-0.00410	-0.01702	-0.00189	0.99985	
1132.62389	8.22516	100.28596	0.10595	-0.87406	172.48405	0.29913	-0.99129	0.13083	-0.01488	-0.13079	-0.99140	-0.00383	-0.01525	-0.00185	0.99988	
1132.63709	8.21232	100.27158	0.07708	-0.88141	172.49516	0.30871	-0.99132	0.13063	-0.01508	-0.13059	-0.99143	-0.00334	-0.01538	-0.00135	0.99988	
1132.61497	8.24173	100.29984	0.07910	-0.90976	172.51393	0.30342	-0.99135	0.13031	-0.01556	-0.13027	-0.99147	-0.00344	-0.01588	-0.00138	0.99987	
1132.56767	8.26023	100.30560	0.10168	-0.88615	172.47353	0.30596	-0.99127	0.13101	-0.01510	-0.13097	-0.99138	-0.00379	-0.01547	-0.00177	0.99988	
1132.63786	8.19482	100.27943	0.07722	-0.91499	172.50439	0.32131	-0.99133	0.13047	-0.01566	-0.13043	-0.99145	-0.00342	-0.01597	-0.00135	0.99987	
