x, y, z, qx, qy, qz, qw
-0.0313267600, 0.0002561002, 0.1149158000, 0.0079944400, 0.0000000000, 0.0084484650, 0.9999323000
-0.0313168300, 0.0002045343, 0.1149189000, 0.0079953730, 0.0000000000, 0.0084625630, 0.9999322000
-0.0312156000, 0.0001261837, 0.1149204000, 0.0079701730, 0.0000000000, 0.0083980470, 0.9999329000
-0.0311938900, 0.0000864992, 0.1149361000, 0.0079860480, 0.0000000000, 0.0084546360, 0.9999323000
-0.0312014700, 0.0000634004, 0.1149319000, 0.0080158470, 0.0000000000, 0.0084572800, 0.9999321000
-0.0312188200, 0.0000492989, 0.1149357000, 0.0080195650, 0.0000000000, 0.0084502290, 0.9999321000
-0.0311856700, 0.0000080546, 0.1149370000, 0.0079851150, 0.0000000000, 0.0084475830, 0.9999324000
-0.0311551000, 0.0000035473, 0.1148714000, 0.0080483140, 0.0000000000, 0.0084475830, 0.9999319000
-0.0311866500, -0.0000069545, 0.1148988000, 0.0080167760, 0.0000000000, 0.0084572800, 0.9999321000
-0.0311986900, 0.0000056666, 0.1149234000, 0.0080446100, 0.0000000000, 0.0084643240, 0.9999318000
-0.0312158100, -0.0000164178, 0.1149268000, 0.0080195650, 0.0000000000, 0.0084572800, 0.9999321000
-0.0311854900, -0.0000952105, 0.1149436000, 0.0079552020, 0.0000000000, 0.0084511110, 0.9999326000
-0.0311620100, -0.0001252713, 0.1149760000, 0.0079654970, 0.0000000000, 0.0084555170, 0.9999325000
-0.0311670300, -0.0001320863, 0.1149904000, 0.0080084080, 0.0000000000, 0.0084467010, 0.9999322000
-0.0311954700, -0.0000780086, 0.1149778000, 0.0080751150, 0.0000000000, 0.0084555170, 0.9999316000
-0.0311871200, -0.0000803103, 0.1149821000, 0.0080167760, 0.0000000000, 0.0084643240, 0.9999321000
-0.0311864700, -0.0000986085, 0.1149824000, 0.0080111990, 0.0000000000, 0.0084590410, 0.9999322000
-0.0312156200, -0.0000938746, 0.1149948000, 0.0080167760, 0.0000000000, 0.0084634440, 0.9999321000
-0.0312285900, -0.0000768506, 0.1149952000, 0.0080344160, 0.0000000000, 0.0084643240, 0.9999319000
-0.0311905300, -0.0001115033, 0.1149966000, 0.0080139880, 0.0000000000, 0.0083980470, 0.9999326000
-0.0312213700, -0.0001229315, 0.1149971000, 0.0079804490, 0.0001220703, 0.0084422890, 0.9999325000
-0.0312313400, -0.0001156021, 0.1149976000, 0.0080084080, 0.0000000000, 0.0084572800, 0.9999322000
-0.0312446400, -0.0001120597, 0.1149991000, 0.0080018930, 0.0000000000, 0.0084713630, 0.9999321000
-0.0312784600, -0.0001291456, 0.1150176000, 0.0079748450, 0.0000000000, 0.0084537550, 0.9999325000
-0.0312885600, -0.0001171466, 0.1150158000, 0.0080046860, 0.0000000000, 0.0084783970, 0.9999320000
-0.0312467700, -0.0001640316, 0.1149693000, 0.0079711070, 0.0000000000, 0.0084502290, 0.9999325000
-0.0312812900, -0.0001035757, 0.1149552000, 0.0080399770, 0.0001220703, 0.0084827890, 0.9999317000
-0.0313059400, -0.0000799300, 0.1149538000, 0.0080427570, 0.0001726335, 0.0084643240, 0.9999318000
-0.0313124600, -0.0000628649, 0.1149591000, 0.0080186350, 0.0000000000, 0.0084757590, 0.9999319000
-0.0312862400, -0.0000286227, 0.1149471000, 0.0080455360, 0.0000000000, 0.0084994600, 0.9999315000
-0.0312956800, -0.0000421344, 0.1149461000, 0.0079981680, 0.0000000000, 0.0084625630, 0.9999322000
-0.0313233200, 0.0000185336, 0.1149467000, 0.0080399770, 0.0001726335, 0.0084572800, 0.9999319000
-0.0313394300, 0.0000274379, 0.1149434000, 0.0080139880, 0.0001220703, 0.0084827890, 0.9999319000
-0.0313408800, 0.0000105623, 0.1149192000, 0.0079776480, 0.0001220703, 0.0084652040, 0.9999323000
-0.0313430200, -0.0000244560, 0.1149107000, 0.0079636270, 0.0001220703, 0.0084599220, 0.9999325000
-0.0313603400, -0.0000185301, 0.1149071000, 0.0080102680, 0.0001220703, 0.0084687240, 0.9999321000
-0.0313797600, 0.0000117882, 0.1149119000, 0.0080316330, 0.0001220703, 0.0084915670, 0.9999317000
-0.0313913000, 0.0000174517, 0.1148973000, 0.0080214220, 0.0000000000, 0.0084660840, 0.9999320000
-0.0313973800, 0.0000305861, 0.1148978000, 0.0080251370, 0.0001220703, 0.0084757590, 0.9999319000
-0.0313917400, 0.0000353528, 0.1148933000, 0.0080307050, 0.0001220703, 0.0084722420, 0.9999319000
-0.0314451800, 0.0000213028, 0.1149058000, 0.0079804490, 0.0001220703, 0.0084387590, 0.9999325000
-0.0314684300, 0.0000084318, 0.1149251000, 0.0079785820, 0.0001220703, 0.0084792750, 0.9999322000
