rx, ry, rz, qx, qy, qz, qw
0.0372170200, -0.0494987300, -1.074026000, -0.2073348000, -0.3620717000, -0.1049670000, -0.902717200
0.0372170200, -0.0494987300, -1.074026000, -0.2073348000, -0.3620717000, -0.1049670000, -0.902717200
0.0372170200, -0.0494987300, -1.074026000, -0.2073348000, -0.3620717000, -0.1049670000, -0.902717200
0.0372170200, -0.0494987300, -1.074026000, -0.2073348000, -0.3620717000, -0.1049670000, -0.902717200
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372170300, -0.0494950500, -1.074033000, -0.2070248000, -0.3621238000, -0.1049081000, -0.902774300
0.0372167800, -0.0495117300, -1.074052000, -0.2071060000, -0.3621245000, -0.1049359000, -0.902752200
0.0372167800, -0.0495117300, -1.074052000, -0.2071060000, -0.3621245000, -0.1049359000, -0.902752200
0.0372167800, -0.0495117300, -1.074052000, -0.2071060000, -0.3621245000, -0.1049359000, -0.902752200
0.0372167800, -0.0495117300, -1.074052000, -0.2071060000, -0.3621245000, -0.1049359000, -0.902752200
0.0372167800, -0.0495117300, -1.074052000, -0.2071060000, -0.3621245000, -0.1049359000, -0.902752200
0.0372167800, -0.0495117300, -1.074052000, -0.2071060000, -0.3621245000, -0.1049359000, -0.902752200
0.0372070000, -0.0494954000, -1.074017000, -0.2072052000, -0.3621763000, -0.1049885000, -0.902702500
0.0372070000, -0.0494954000, -1.074017000, -0.2072052000, -0.3621763000, -0.1049885000, -0.902702500
0.0372070000, -0.0494954000, -1.074017000, -0.2072052000, -0.3621763000, -0.1049885000, -0.902702500
0.0372070000, -0.0494954000, -1.074017000, -0.2072052000, -0.3621763000, -0.1049885000, -0.902702500
0.0372070000, -0.0494954000, -1.074017000, -0.2072052000, -0.3621763000, -0.1049885000, -0.902702500
0.0372070000, -0.0494954000, -1.074017000, -0.2072052000, -0.3621763000, -0.1049885000, -0.902702500
0.0371944300, -0.0494881800, -1.074030000, -0.2070090000, -0.3622034000, -0.1049538000, -0.902740700
0.0371944300, -0.0494881800, -1.074030000, -0.2070090000, -0.3622034000, -0.1049538000, -0.902740700
0.0371944300, -0.0494881800, -1.074030000, -0.2070090000, -0.3622034000, -0.1049538000, -0.902740700
0.0371944300, -0.0494881800, -1.074030000, -0.2070090000, -0.3622034000, -0.1049538000, -0.902740700
0.0371944300, -0.0494881800, -1.074030000, -0.2070090000, -0.3622034000, -0.1049538000, -0.902740700
0.0371944300, -0.0494881800, -1.074030000, -0.2070090000, -0.3622034000, -0.1049538000, -0.902740700
