rx, ry, rz, ax, ay, az, qx, qy, qz, qw
-0.4652141000, 0.0757089600, -0.166770500, -0.0291048200, -0.7156875000, 0.0063457520, -0.697785100, -0.8435389000, 1.0925500000, -0.505392600
-0.4659257000, 0.0757777400, -0.167055100, -0.0284965900, -0.7162730000, 0.0056952800, -0.697214900, -0.7851564000, 0.5197638000, -0.570720600
-0.4660780000, 0.0776322600, -0.167819800, -0.0208192000, -0.7195555000, 0.0000442784, -0.694122800, -0.7851564000, 0.5197638000, -0.570720600
-0.4660780000, 0.0776322600, -0.167819800, -0.0208192000, -0.7195555000, 0.0000442784, -0.694122800, -0.7851564000, 0.5197638000, -0.570720600
-0.4668333000, 0.0775336700, -0.168094400, -0.0209828200, -0.7204170000, -0.0004329961, -0.693223600, -0.6827474000, -0.2728257000, -0.449814000
-0.4677320000, 0.0792373100, -0.169171200, -0.0135509100, -0.7242640000, -0.0060770530, -0.689362800, -0.5264224000, -0.7373951000, -0.449057000
-0.4677320000, 0.0792373100, -0.169171200, -0.0135509100, -0.7242640000, -0.0060770530, -0.689362800, -0.5264224000, -0.7373951000, -0.449057000
-0.4680773000, 0.0791867100, -0.169261700, -0.0139004300, -0.7245157000, -0.0056028480, -0.689095400, -0.5497752000, -0.8081422000, -0.321289700
-0.4685648000, 0.0809673600, -0.170232700, -0.0069336370, -0.7280011000, -0.0113070500, -0.685447700, -0.3881015000, -0.8415256000, -0.353855600
-0.4685648000, 0.0809673600, -0.170232700, -0.0069336370, -0.7280011000, -0.0113070500, -0.685447700, -0.3881015000, -0.8415256000, -0.353855600
-0.4692242000, 0.0807256700, -0.170380600, -0.0075204360, -0.7287421000, -0.0105047800, -0.684666300, -0.2655046000, -1.0064560000, -0.210909700
-0.4695917000, 0.0824860400, -0.171244200, -0.0004148359, -0.7324958000, -0.0158477200, -0.680587000, -0.2655046000, -1.0064560000, -0.210909700
-0.4695917000, 0.0824860400, -0.171244200, -0.0004148359, -0.7324958000, -0.0158477200, -0.680587000, -0.2655046000, -1.0064560000, -0.210909700
-0.4702770000, 0.0821575700, -0.171463300, -0.0015286050, -0.7327226000, -0.0153468500, -0.680352700, -0.0242096500, -1.2491100000, 0.057246230
-0.4708442000, 0.0837152400, -0.172425300, 0.0051452400, -0.7362283000, -0.0206992100, -0.676397100, -0.1304649000, -1.3450110000, 0.057431650
-0.4708442000, 0.0837152400, -0.172425300, 0.0051452400, -0.7362283000, -0.0206992100, -0.676397100, -0.1304649000, -1.3450110000, 0.057431650
-0.4715647000, 0.0834168400, -0.172472400, 0.0038843400, -0.7366133000, -0.0198786400, -0.676010900, 0.1081183000, -1.1673240000, 0.315493400
-0.4724768000, 0.0846839500, -0.173355100, 0.0096820110, -0.7402590000, -0.0245135200, -0.671805000, 0.2204780000, -1.1349610000, 0.522844600
-0.4724768000, 0.0846839500, -0.173355100, 0.0096820110, -0.7402590000, -0.0245135200, -0.671805000, 0.2204780000, -1.1349610000, 0.522844600
-0.4725630000, 0.0845652700, -0.173322400, 0.0094038150, -0.7403458000, -0.0244883300, -0.671714200, 0.2610533000, -1.1187060000, 0.665614300
-0.4730077000, 0.0860155700, -0.174147100, 0.0154563100, -0.7440312000, -0.0293151800, -0.667322500, 0.2610533000, -1.1187060000, 0.665614300
-0.4730077000, 0.0860155700, -0.174147100, 0.0154563100, -0.7440312000, -0.0293151800, -0.667322500, 0.2610533000, -1.1187060000, 0.665614300
