X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
-761.22088	55.82995	158.22656	0.95701	16.16857	31.64013	0.13218	0.81769	0.52847	-0.22828	-0.50383	0.84880	0.16028	0.27846	-0.01604	0.96031	
-761.21559	55.84574	158.22269	0.95799	16.14718	31.62718	0.12971	0.81789	0.52828	-0.22800	-0.50370	0.84892	0.16005	0.27811	-0.01606	0.96042	
-761.19564	55.84137	158.25221	0.96211	16.21557	31.63776	0.14151	0.81751	0.52847	-0.22891	-0.50368	0.84880	0.16076	0.27925	-0.01612	0.96008	
-761.24150	55.73001	158.51703	0.76336	15.72346	31.58894	0.33626	0.81995	0.52685	-0.22384	-0.50422	0.84986	0.15329	0.27099	-0.01282	0.96250	
-761.21343	55.86987	158.25271	0.96385	16.22635	31.61417	0.14704	0.81767	0.52813	-0.22911	-0.50332	0.84901	0.16078	0.27943	-0.01615	0.96003	
-761.21195	55.83167	158.25498	0.94534	16.17963	31.63522	0.13571	0.81768	0.52835	-0.22856	-0.50374	0.84888	0.16018	0.27865	-0.01585	0.96026	
-761.20418	55.83309	158.25451	0.94784	16.17876	31.62506	0.12952	0.81778	0.52821	-0.22855	-0.50359	0.84896	0.16017	0.27864	-0.01589	0.96027	
-761.21565	55.85880	158.26022	0.96435	16.18072	31.63423	0.12556	0.81769	0.52841	-0.22840	-0.50372	0.84883	0.16047	0.27867	-0.01616	0.96025	
-761.20495	55.86180	158.28994	0.98626	16.27845	31.62278	0.15239	0.81738	0.52836	-0.22963	-0.50330	0.84886	0.16161	0.28031	-0.01652	0.95977	
-761.20280	55.85723	158.23994	0.96017	16.14246	31.62986	0.14019	0.81788	0.52832	-0.22791	-0.50375	0.84889	0.16005	0.27803	-0.01610	0.96044	
-761.21807	55.87529	158.22851	0.95747	16.16080	31.62502	0.15107	0.81785	0.52824	-0.22821	-0.50364	0.84894	0.16016	0.27833	-0.01605	0.96035	
-761.21108	55.85906	158.23956	0.95546	16.19199	31.63038	0.14297	0.81767	0.52832	-0.22865	-0.50363	0.84889	0.16042	0.27886	-0.01601	0.96020	
-761.21235	55.84997	158.23365	0.97709	16.15708	31.62509	0.15442	0.81787	0.52832	-0.22797	-0.50365	0.84889	0.16041	0.27827	-0.01638	0.96036	
-761.22670	55.85936	158.22655	0.95896	16.17334	31.62860	0.13833	0.81777	0.52831	-0.22836	-0.50366	0.84890	0.16030	0.27854	-0.01607	0.96029	
-761.20447	55.86459	158.20692	0.94580	16.12859	31.63283	0.12578	0.81791	0.52831	-0.22783	-0.50383	0.84891	0.15973	0.27779	-0.01586	0.96051	
-761.20732	55.85258	158.24027	0.95555	16.16033	31.61963	0.14447	0.81790	0.52816	-0.22823	-0.50356	0.84900	0.16010	0.27833	-0.01602	0.96035	
-761.22183	55.88854	158.24732	0.97068	16.20011	31.63013	0.15779	0.81764	0.52838	-0.22863	-0.50361	0.84885	0.16072	0.27899	-0.01627	0.96016	
-761.21173	55.86266	158.27276	0.95541	16.19528	31.62652	0.15283	0.81769	0.52827	-0.22871	-0.50357	0.84893	0.16043	0.27891	-0.01601	0.96018	
-761.21348	55.87099	158.25461	0.94510	16.15953	31.62791	0.14186	0.81783	0.52824	-0.22829	-0.50368	0.84895	0.15997	0.27831	-0.01584	0.96036	
-761.20817	55.87585	158.26067	0.95304	16.22878	31.61507	0.15293	0.81766	0.52810	-0.22924	-0.50332	0.84903	0.16065	0.27947	-0.01597	0.96002	
-761.21351	55.85246	158.23574	0.94067	16.12693	31.63347	0.12221	0.81792	0.52830	-0.22785	-0.50384	0.84891	0.15964	0.27777	-0.01577	0.96052	
-761.20537	55.86320	158.23955	0.94705	16.13535	31.63241	0.12844	0.81789	0.52831	-0.22792	-0.50381	0.84891	0.15981	0.27791	-0.01588	0.96048	
-761.21035	55.85851	158.24197	0.96897	16.20894	31.62219	0.15245	0.81768	0.52826	-0.22879	-0.50347	0.84893	0.16074	0.27914	-0.01624	0.96011	
-761.20458	55.85785	158.24784	0.96135	16.16768	31.63569	0.14486	0.81773	0.52842	-0.22824	-0.50377	0.84883	0.16032	0.27845	-0.01611	0.96032	
-761.21727	55.86446	158.22705	0.95183	16.15553	31.62635	0.13523	0.81786	0.52824	-0.22818	-0.50367	0.84894	0.16003	0.27825	-0.01596	0.96038	
-761.20335	55.85594	158.25037	0.97624	16.18764	31.62309	0.15165	0.81776	0.52830	-0.22842	-0.50354	0.84890	0.16066	0.27878	-0.01636	0.96021	
-761.20687	55.85630	158.26778	0.95765	16.21207	31.63095	0.15325	0.81759	0.52835	-0.22892	-0.50359	0.84888	0.16063	0.27919	-0.01605	0.96010	
-761.21502	55.86895	158.21397	0.93295	16.11033	31.63197	0.12640	0.81800	0.52824	-0.22769	-0.50387	0.84895	0.15938	0.27749	-0.01564	0.96060	
-761.21354	55.85870	158.23286	0.95294	16.16279	31.63072	0.13572	0.81779	0.52831	-0.22826	-0.50371	0.84890	0.16013	0.27837	-0.01597	0.96034	
