X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1231.60284	-61.14207	100.82378	0.15251	-1.44774	176.11903	0.13010	-0.99739	0.06775	-0.02503	-0.06766	-0.99770	-0.00437	-0.02527	-0.00266	0.99968	
1231.70868	-61.20576	100.74182	0.08290	-1.37315	176.09375	0.14249	-0.99739	0.06816	-0.02381	-0.06810	-0.99767	-0.00308	-0.02396	-0.00145	0.99971	
1231.84664	-61.16318	100.66252	-0.01463	-1.56757	175.97879	0.14231	-0.99716	0.07012	-0.02731	-0.07010	-0.99754	-0.00166	-0.02736	0.00026	0.99963	
1231.83323	-61.19545	100.63295	-0.00419	-1.68552	176.02219	0.12085	-0.99716	0.06937	-0.02935	-0.06934	-0.99759	-0.00197	-0.02941	0.00007	0.99957	
1231.84212	-61.21246	100.64935	-0.00716	-1.60397	176.02499	0.13157	-0.99720	0.06932	-0.02793	-0.06929	-0.99759	-0.00182	-0.02799	0.00012	0.99961	
1231.85488	-61.16018	100.64514	0.01522	-1.65402	175.97438	0.12400	-0.99712	0.07021	-0.02877	-0.07017	-0.99753	-0.00229	-0.02886	-0.00027	0.99958	
1231.84357	-61.21295	100.66074	-0.01559	-1.59109	176.01378	0.14442	-0.99720	0.06951	-0.02772	-0.06949	-0.99758	-0.00166	-0.02777	0.00027	0.99961	
1231.87476	-61.18677	100.69591	-0.01213	-1.55010	175.96631	0.14397	-0.99716	0.07034	-0.02700	-0.07032	-0.99752	-0.00169	-0.02705	0.00021	0.99963	
1231.85535	-61.17106	100.67728	-0.00274	-1.59772	175.95274	0.12328	-0.99712	0.07058	-0.02782	-0.07055	-0.99751	-0.00192	-0.02788	0.00005	0.99961	
1231.85790	-61.17242	100.68193	-0.00549	-1.57201	175.97388	0.14028	-0.99716	0.07021	-0.02737	-0.07019	-0.99753	-0.00183	-0.02743	0.00010	0.99962	
1231.86917	-61.18941	100.65286	0.00721	-1.58817	175.96654	0.12820	-0.99714	0.07034	-0.02764	-0.07031	-0.99752	-0.00207	-0.02772	-0.00013	0.99962	
1231.87449	-61.19410	100.65543	0.00403	-1.61165	175.97903	0.14268	-0.99714	0.07012	-0.02805	-0.07009	-0.99754	-0.00204	-0.02812	-0.00007	0.99960	
1231.85671	-61.20177	100.66035	0.01929	-1.67953	175.97224	0.11832	-0.99710	0.07025	-0.02921	-0.07021	-0.99753	-0.00239	-0.02931	-0.00034	0.99957	
1231.86763	-61.20964	100.66809	0.01331	-1.58822	175.96872	0.13927	-0.99714	0.07031	-0.02763	-0.07027	-0.99753	-0.00218	-0.02772	-0.00023	0.99962	
1231.84840	-61.21597	100.64052	-0.03317	-1.74835	176.01215	0.13103	-0.99711	0.06953	-0.03048	-0.06951	-0.99758	-0.00154	-0.03051	0.00058	0.99953	
1231.85588	-61.20612	100.64492	-0.03304	-1.67477	176.00208	0.14604	-0.99714	0.06970	-0.02920	-0.06969	-0.99757	-0.00146	-0.02923	0.00058	0.99957	
1231.86832	-61.17198	100.64169	0.00662	-1.63661	175.96823	0.11729	-0.99712	0.07031	-0.02848	-0.07028	-0.99752	-0.00212	-0.02856	-0.00012	0.99959	
1231.84567	-61.19887	100.63390	-0.02807	-1.67160	176.00056	0.13186	-0.99714	0.06973	-0.02913	-0.06972	-0.99757	-0.00155	-0.02917	0.00049	0.99957	
1231.86535	-61.22707	100.64663	0.00086	-1.62622	176.01381	0.12958	-0.99718	0.06952	-0.02831	-0.06949	-0.99758	-0.00199	-0.02838	-0.00001	0.99960	
1231.88239	-61.18257	100.67054	-0.00277	-1.63029	175.98630	0.14382	-0.99714	0.06999	-0.02838	-0.06997	-0.99755	-0.00194	-0.02845	0.00005	0.99960	
1231.87092	-61.18749	100.65377	-0.00205	-1.65786	175.97122	0.13083	-0.99711	0.07026	-0.02886	-0.07023	-0.99753	-0.00200	-0.02893	0.00004	0.99958	
1231.84205	-61.21838	100.64157	-0.00963	-1.69987	175.99374	0.12422	-0.99712	0.06986	-0.02960	-0.06983	-0.99756	-0.00190	-0.02966	0.00017	0.99956	
1231.86268	-61.21723	100.66733	0.00926	-1.66482	175.95422	0.14314	-0.99709	0.07056	-0.02897	-0.07052	-0.99751	-0.00221	-0.02905	-0.00016	0.99958	
1231.85135	-61.19522	100.68135	-0.02398	-1.51072	175.95667	0.14034	-0.99716	0.07050	-0.02633	-0.07049	-0.99751	-0.00144	-0.02636	0.00042	0.99965	
1231.85190	-61.17666	100.67515	0.01422	-1.64484	175.95778	0.13023	-0.99710	0.07050	-0.02862	-0.07046	-0.99751	-0.00227	-0.02870	-0.00025	0.99959	
1231.86525	-61.20648	100.63584	-0.01500	-1.70248	175.99916	0.14293	-0.99712	0.06976	-0.02966	-0.06974	-0.99756	-0.00181	-0.02971	0.00026	0.99956	
1231.87748	-61.19486	100.64860	0.00991	-1.62954	175.96707	0.14196	-0.99712	0.07033	-0.02835	-0.07030	-0.99752	-0.00217	-0.02844	-0.00017	0.99960	
1231.85923	-61.19754	100.62120	-0.00141	-1.70361	176.00725	0.12308	-0.99713	0.06963	-0.02966	-0.06960	-0.99757	-0.00205	-0.02973	0.00002	0.99956	
1231.87238	-61.17857	100.65976	0.00503	-1.66953	175.96335	0.12825	-0.99710	0.07040	-0.02906	-0.07036	-0.99752	-0.00214	-0.02913	-0.00009	0.99958	
1231.84148	-61.18900	100.64706	0.00440	-1.62096	176.00232	0.12682	-0.99717	0.06972	-0.02821	-0.06969	-0.99757	-0.00205	-0.02829	-0.00008	0.99960	
1231.86448	-61.15871	100.64575	-0.00836	-1.64487	175.97725	0.13536	-0.99713	0.07015	-0.02864	-0.07012	-0.99754	-0.00187	-0.02870	0.00015	0.99959	
1231.85786	-61.16763	100.68964	-0.01137	-1.61316	175.97379	0.12483	-0.99714	0.07021	-0.02810	-0.07019	-0.99753	-0.00178	-0.02815	0.00020	0.99960	
1231.85762	-61.17802	100.68259	-0.00684	-1.61101	175.98071	0.11720	-0.99715	0.07009	-0.02805	-0.07006	-0.99754	-0.00185	-0.02811	0.00012	0.99960	
1231.85202	-61.19715	100.68104	0.02725	-1.63152	175.95844	0.11439	-0.99711	0.07049	-0.02837	-0.07045	-0.99751	-0.00248	-0.02847	-0.00048	0.99959	
1231.82698	-61.22396	100.67031	-0.01511	-1.59248	176.01602	0.12791	-0.99720	0.06947	-0.02774	-0.06945	-0.99758	-0.00167	-0.02779	0.00026	0.99961	
1231.82960	-61.24274	100.70140	-0.04306	-1.63589	175.93185	0.16022	-0.99707	0.07092	-0.02853	-0.07091	-0.99748	-0.00128	-0.02855	0.00075	0.99959	
1231.79379	-61.22867	100.74159	-0.02574	-1.65126	175.86029	0.11402	-0.99698	0.07218	-0.02877	-0.07216	-0.99739	-0.00163	-0.02882	0.00045	0.99958	
1231.74838	-61.19256	100.73565	-0.01122	-1.71803	175.91606	0.15449	-0.99701	0.07121	-0.02992	-0.07119	-0.99746	-0.00194	-0.02998	0.00020	0.99955	
1231.73138	-61.21451	100.74361	0.00778	-1.74208	175.96417	0.15107	-0.99706	0.07038	-0.03032	-0.07035	-0.99752	-0.00228	-0.03040	-0.00014	0.99954	
